,New York
327,-2.770405558258801
328,-2.5004055582588194
329,-2.190405558258817
330,-1.7504055582588194
331,-1.6804055582587694
332,-1.190405558258817
333,-0.7204055582587898
334,-0.4604055582587989
335,-0.41040555825878755
336,-0.020405558258801193
337,0.8195944417412306
338,1.9995944417411806
339,3.379594441741176
340,3.709594441741217
341,5.749594441741181
342,7.23959444174119
343,8.949594441741226
344,9.379594441741176
345,9.549594441741192
346,8.24959444174118
347,6.759594441741228
348,5.9195944417411965
349,5.469594441741208
350,5.27959444174121
351,4.539594441741201
352,3.969594441741208
353,3.5995944417412034
354,3.27959444174121
355,3.1595944417412056
356,4.149594441741215
357,4.259594441741228
358,4.119594441741185
359,4.119594441741185
360,4.539594441741201
361,5.8295944417412215
362,8.379594441741176
363,9.129594441741176
364,9.649594441741215
365,9.229594441741199
366,9.419594441741197
367,8.23959444174119
368,7.3295944417412215
369,6.459594441741217
370,5.6695944417411965
371,4.709594441741217
372,3.9995944417411806
373,3.629594441741176
374,3.219594441741208
375,3.0895944417412124
376,2.3195944417412306
377,1.799594441741192
378,1.2695944417412193
379,0.5595944417411829
380,-0.020405558258801193
381,-0.9204055582587785
382,-1.460405558258799
383,-1.530405558258792
384,-1.3204055582588126
385,-0.40040555825879665
386,-0.020405558258801193
387,0.5195944417412193
388,1.3395944417412124
389,1.809594441741183
390,2.1595944417412056
391,2.539594441741201
392,2.4995944417411806
393,2.0095944417412284
394,1.1895944417411783
395,-1.4904055582587716
396,-2.4304055582587694
397,-3.2604055582588103
398,-4.250405558258819
399,-4.750405558258819
400,-5.020405558258801
401,-6.100405558258785
402,-7.300405558258774
403,-7.22040555825879
404,-7.880405558258815
405,-7.820405558258813
406,-8.00040555825882
407,-9.060405558258822
408,-6.0804055582588035
409,-6.090405558258794
410,-4.000405558258819
411,-0.2504055582588194
412,1.2795944417412102
413,2.2695944417412193
414,3.869594441741185
415,4.319594441741231
416,4.759594441741228
417,4.289594441741201
418,2.449594441741226
419,1.1595944417412056
420,-0.5204055582588012
421,-1.3604055582587762
422,-2.5104055582588103
423,-3.530405558258792
424,-4.780405558258792
425,-4.890405558258806
426,-5.120405558258824
427,-6.570405558258813
428,-6.800405558258774
429,-7.240405558258772
430,-7.400405558258797
431,-7.190405558258817
432,-5.730405558258781
433,-2.440405558258817
434,1.129594441741176
435,3.7595944417412284
436,5.569594441741231
437,6.209594441741217
438,6.5795944417412215
439,6.119594441741185
440,6.009594441741228
441,4.889594441741224
442,4.429594441741187
443,4.049594441741192
444,3.979594441741199
445,4.1695944417411965
446,4.179594441741187
447,4.259594441741228
448,4.009594441741228
449,4.389594441741224
450,5.049594441741192
451,4.869594441741185
452,5.0795944417412215
453,5.139594441741224
454,5.009594441741228
455,5.3395944417412124
456,5.539594441741201
457,5.599594441741203
458,5.869594441741185
459,5.929594441741187
460,5.999594441741181
461,6.449594441741226
462,6.639594441741224
463,7.199594441741226
464,7.469594441741208
465,7.539594441741201
466,7.3395944417412124
467,6.569594441741231
468,6.069594441741231
469,5.729594441741199
470,5.729594441741199
471,5.9195944417411965
472,5.9195944417411965
473,5.609594441741194
474,5.147094441741217
475,4.684594441741183
476,4.222094441741206
477,3.7595944417412284
478,3.2970944417411943
479,2.834594441741217
480,2.372094441741183
481,1.9095944417412056
482,2.177372219741187
483,2.4451499977412254
484,2.7129277747412175
485,2.980705552741199
486,3.2484833307411805
487,3.5162611087412188
488,3.784038885741211
489,4.051816663741192
490,4.319594441741231
491,3.4095944417412056
492,2.227094441741201
493,1.0445944417411965
494,-0.13790555825880801
495,-1.3204055582588126
496,-0.950405558258808
497,-0.5904055582587944
498,-1.3104055582588217
499,-1.440405558258817
500,-1.7704055582588012
501,-2.1604055582587876
502,-3.130405558258815
503,-3.47040555825879
504,-2.352905558258783
505,-1.2354055582587762
506,-0.11790555825876936
507,0.9995944417411806
508,4.219594441741208
509,4.629594441741176
510,6.059594441741183
511,5.869594441741185
512,5.869594441741185
513,5.349594441741203
514,4.219594441741208
515,2.449594441741226
516,0.7395944417411897
517,0.11959444174118516
518,0.029594441741210176
